0,40.64,55.79
1,27.62,23.35
2,62.43,12.96
3,63.55,63.64
4,50.92,7.76
5,7.76,92.04
6,35.46,13.18
7,75.55,65.57
8,60.73,46.59
9,32.22,27.95
10,11.89,90.95
11,64.71,32.55
12,55.19,6.11
13,23.49,24.12
14,18.49,90.1
15,50.09,34.15
16,93.3,97.33
17,61.79,79.21
18,61.96,61.56
19,70.05,30.99
20,0.64,22.29
21,56.72,2.35
22,46.73,38.33
23,29.88,75.49
24,15.91,97.97
25,26.53,3.13
26,90.65,86.24
27,36.38,46.51
28,89.56,12.58
29,66.3,56.92
30,39.21,29.77
31,39.64,36.28
32,47.28,74.05
33,12.57,79.05
34,93.8,45.18
35,87.53,97.86
36,40.7,57.86
37,81.02,68.25
38,22.71,47.6
39,7.24,26.98
40,70.95,6.1
41,57.3,29.74
42,75.71,5.19
43,30.26,78.63
44,72.63,92.94
45,42.06,78.17
46,6.72,54.87
47,78.19,5.18
48,49.69,19.85
49,8.38,97.56
50,94.41,17.82
51,54.05,48.73
52,45.11,91.31
53,98.1,74.01
54,5.86,50.86
55,32.86,22.27
56,39.62,5.79
57,49.42,35.43
58,17.3,1.72
59,70.25,9.98
60,74.76,29.1
61,24.1,51.77
62,53.71,94.64
63,26.76,1.18
64,63.63,33.64
65,23.95,27.08
66,48.86,64.73
67,64.82,71.82
68,38.31,74.43
69,95.79,93.14
70,7.84,28.49
71,28.87,25.69
72,5.31,73.96
73,73.33,15.23
74,64.7,40.23
75,10.76,68.76
76,64.04,14.76
77,72.56,84.68
78,64.86,35.03
79,95.94,1.75
80,95.77,21.63
81,52.85,44.27
82,49.92,94.78
83,48.35,20.93
84,1.93,16.63
85,58.25,71.92
86,9.71,53.55
87,46.25,56.76
88,36.98,52.62
89,17.09,61.88
90,6.44,87.03
91,21.47,80.08
92,45.86,48.27
93,84.01,15.25
94,72.2,98.44
95,29.64,67.7
96,46.56,40.79
97,91.99,49.43
98,57.98,24.5
99,87.15,68.45
